Brand,Full Model,Model,Price,Manufacturer,Phone Url
Xiaomi,Poco X4 Pro 5G 6/128GB,Poco X4 Pro,17200,Mobelix,https://mobelix.com.mk/mk/proizvodi/poco-x4-pro-5g-6128gb
Xiaomi,Xiaomi Mi 11T 5G 8GB RAM/128GB,Mi 11T,23400,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-mi-11t-5g-8gb-ram128gb
Xiaomi,Redmi Note 11 4GB RAM/128GB,Redmi Note 11,10500,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-11-4gb-ram128gb
Xiaomi,Poco M3 Pro 5G 6GB RAM/128GB,Poco M3 Pro,15400,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-m3-pro-5g-6gb-ram128gb
Xiaomi,Redmi Note 11T 5G 8GB RAM/128GB,Redmi Note 11T,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-11t-5g-8gb-ram128gb
Honor,Honor 50 Lite 8GB RAM/128GB,Honor 50 Lite,16600,Mobelix,https://mobelix.com.mk/mk/proizvodi/honor-50-lite-8gb-ram128gb
Honor,Honor 50 6GB RAM/128GB,Honor 50,23400,Mobelix,https://mobelix.com.mk/mk/proizvodi/honor-50-6gb-ram128gb
Xiaomi,Redmi Note 10T 5G 4GB RAM/64GB,Redmi Note 10T,12300,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-10t-5g-4gb-ram64gb
Realme,Realme GT Master 5G 8GB RAM/256GB,Realme GT Master,20300,Mobelix,https://mobelix.com.mk/mk/proizvodi/realme-gt-master-5g-8gb-ram256gb
Google,Pixel 6 8GB RAM/128GB,Pixel 6,40000,Mobelix,https://mobelix.com.mk/mk/proizvodi/google-pixel-6-8gb-ram128gb
Xiaomi,Xiaomi Poco X3 PRO 6GB RAM/128GB,Poco X3 PRO,15400,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-x3-pro-6gb-ram128gb
Xiaomi,Redmi Note 10 PRO MAX 6GB RAM/128GB,Redmi Note 10 PRO MAX,16900,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-10-pro-max-6gb-ram128gb
One Plus,9 5G 8GB RAM/128GB,9,24600,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-9-5g-8gb-ram128gb
Xiaomi,Redmi Note 9T 5G 4GB RAM/64GB,Redmi Note 9T,12290,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-redmi-note-9t-5g-4gb-ram64gb
Xiaomi,Redmi Note 10 5G 4GB RAM/128GB,Redmi Note 10,13490,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-10-5g-4gb-ram128gb
Xiaomi,Poco M3 4GB RAM/128GB,Poco M3,12290,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-m3-4gb-ram128gb
One Plus,8 Pro 12GB Ram/256,8 Pro,30700,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-8-pro-12gb-ram256
Nokia,8210,8210,5000,Mobelix,https://mobelix.com.mk/mk/proizvodi/nokia-8210
Xiaomi,Poco M6 Pro 5G 12GB RAM/512GB,Poco M6 Pro,14100,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-poco-m6-pro-5g-12gb-ram512gb
Xiaomi,Poco F4 GT 5G 8GB RAM/128GB,Poco F4 GT,30100,Mobelix,https://mobelix.com.mk/mk/proizvodi/poco-f4-gt-5g-8gb-ram128gb
Xiaomi,Redmi Note 11 PRO 8GB RAM/128GB,Redmi Note 11 PRO,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-11-pro-8gb-ram128gb
Xiaomi,Redmi Note 11 PRO+ 5G 8GB RAM/128GB,Redmi Note 11 PRO+,18500,Mobelix,https://mobelix.com.mk/mk/proizvodi/redmi-note-11-pro-5g-8gb-ram128gb
